,Source.Name,trade_symbol,trade_interval,strategy,takeprofit,stoploss,entry_price,UTC_entry time,entry_time,close_price,close_time,win,win_percentage
386896,STGUSDT_15m_orders.xlsx,STGUSDT,15m,bearish_divergence,2,1.99,0.575,25/09/2022 06:45,1664088299999,0.592,1664104499999,0,-1.99
225647,INJUSDT_15m_orders.xlsx,INJUSDT,15m,bearish_divergence,2,5.58,1.827,25/09/2022 21:30,1664141399999,1.787,1664143199999,1,2.0
468289,ZECUSDT_15m_orders.xlsx,ZECUSDT,15m,bearish_divergence,2,2.46,57.2,26/09/2022 10:00,1664186399999,58.91,1664205299999,0,-2.46
115853,COMPUSDT_15m_orders.xlsx,COMPUSDT,15m,bearish_divergence,2,1.81,63.91,26/09/2022 16:00,1664207999999,62.53,1664209799999,1,2.0
379013,SOLUSDT_15m_orders.xlsx,SOLUSDT,15m,bearish_divergence,2,1.95,32.76,26/09/2022 15:45,1664207099999,33.49,1664216099999,0,-1.95
468292,ZECUSDT_15m_orders.xlsx,ZECUSDT,15m,bearish_divergence,2,1.51,58.02,26/09/2022 17:00,1664211599999,59.11,1664236799999,0,-1.51
171694,ENSUSDT_15m_orders.xlsx,ENSUSDT,15m,bearish_divergence,2,1.07,14.819,26/09/2022 20:00,1664222399999,15.066,1664237699999,0,-1.07
161757,DYDXUSDT_15m_orders.xlsx,DYDXUSDT,15m,bearish_divergence,2,1.97,1.347,26/09/2022 20:15,1664223299999,1.383,1664243099999,0,-1.97
182780,ETHUSDT_15m_orders.xlsx,ETHUSDT,15m,bearish_divergence,2,1.09,1325.4,26/09/2022 20:15,1664223299999,1346.74,1664237699999,0,-1.09
182780,ETHUSDT_15m_orders.xlsx,ETHUSDT,15m,bearish_divergence,2,1.09,1325.4,26/09/2022 20:15,1664223299999,1346.74,1664237699999,0,-1.09
349960,RSRUSDT_15m_orders.xlsx,RSRUSDT,15m,bearish_divergence,2,1.47,0.008336,27/09/2022 22:15,1664316899999,0.0085,1664320499999,0,-1.47
240489,KAVAUSDT_15m_orders.xlsx,KAVAUSDT,15m,bearish_divergence,2,2.68,1.5148,28/09/2022 07:45,1664351099999,1.56,1664378999999,0,-2.68
414212,TRBUSDT_15m_orders.xlsx,TRBUSDT,15m,bearish_divergence,2,2.0,16.15,28/09/2022 13:00,1664369999999,16.85,1664382599999,0,-2.0
123935,CRVUSDT_15m_orders.xlsx,CRVUSDT,15m,bearish_divergence,2,1.07,0.928,28/09/2022 20:45,1664397899999,0.941,1664403299999,0,-1.07
254836,LDOUSDT_15m_orders.xlsx,LDOUSDT,15m,bearish_divergence,2,1.69,1.632,28/09/2022 21:00,1664398799999,1.596,1664431199999,1,2.0
159957,DUSKUSDT_15m_orders.xlsx,DUSKUSDT,15m,bearish_divergence,2,1.4,0.11763,30/09/2022 04:00,1664510399999,0.12015,1664523899999,0,-1.4
24787,ALPHAUSDT_15m_orders.xlsx,ALPHAUSDT,15m,bearish_divergence,2,6.54,0.1172,30/09/2022 08:45,1664527499999,0.1146,1664535599999,1,2.0
208166,GTCUSDT_15m_orders.xlsx,GTCUSDT,15m,bearish_divergence,2,1.5,1.842,30/09/2022 09:15,1664529299999,1.796,1664539199999,1,2.0
17469,ALGOUSDT_15m_orders.xlsx,ALGOUSDT,15m,bearish_divergence,2,1.34,0.3541,30/09/2022 10:00,1664531999999,0.3617,1664535599999,0,-1.34
287513,MKRUSDT_15m_orders.xlsx,MKRUSDT,15m,bearish_divergence,2,1.08,770.0,30/09/2022 09:30,1664530199999,753.2,1664559899999,1,2.0
247151,KNCUSDT_15m_orders.xlsx,KNCUSDT,15m,bearish_divergence,2,1.67,1.177,30/09/2022 08:45,1664527499999,1.152,1664576099999,1,2.0
21688,ALICEUSDT_15m_orders.xlsx,ALICEUSDT,15m,bearish_divergence,2,1.43,1.729,30/09/2022 16:00,1664553599999,1.694,1664567999999,1,2.0
87184,BNBUSDT_15m_orders.xlsx,BNBUSDT,15m,bearish_divergence,2,1.17,286.36,30/09/2022 17:45,1664559899999,280.38,1664576099999,1,2.0
156613,DOTUSDT_15m_orders.xlsx,DOTUSDT,15m,bearish_divergence,2,2.62,6.393,30/09/2022 17:45,1664559899999,6.229,1664567999999,1,2.0
335906,REEFUSDT_15m_orders.xlsx,REEFUSDT,15m,bearish_divergence,2,1.7,0.005151,01/10/2022 05:30,1664602199999,0.00534,1664609399999,0,-1.7
443994,XLMUSDT_15m_orders.xlsx,XLMUSDT,15m,bearish_divergence,2,1.71,0.11874,01/10/2022 11:30,1664623799999,0.122,1664638199999,0,-1.71
41884,ATOMUSDT_15m_orders.xlsx,ATOMUSDT,15m,bearish_divergence,2,2.32,12.93,30/09/2022 16:00,1664553599999,12.653,1664641799999,1,2.0
403880,THETAUSDT_15m_orders.xlsx,THETAUSDT,15m,bearish_divergence,2,1.9,1.085,30/09/2022 17:45,1664559899999,1.061,1664641799999,1,2.0
64421,BANDUSDT_15m_orders.xlsx,BANDUSDT,15m,bearish_divergence,2,1.96,1.2534,01/10/2022 16:30,1664641799999,1.2264,1664655299999,1,2.0
232177,IOTAUSDT_15m_orders.xlsx,IOTAUSDT,15m,bearish_divergence,2,1.38,0.2932,01/10/2022 16:30,1664641799999,0.2977,1664650799999,0,-1.38
287516,MKRUSDT_15m_orders.xlsx,MKRUSDT,15m,bearish_divergence,2,1.42,765.0,01/10/2022 16:30,1664641799999,747.8,1664648099999,1,2.0
443995,XLMUSDT_15m_orders.xlsx,XLMUSDT,15m,bearish_divergence,2,1.72,0.1203,01/10/2022 16:45,1664642699999,0.123,1664693999999,0,-1.72
16,1000LUNCUSDT_15m_orders.xlsx,1000LUNCUSDT,15m,bearish_divergence,2,5.34,0.3526,02/10/2022 07:00,1664693999999,0.343,1664694899999,1,2.0
109586,CHRUSDT_15m_orders.xlsx,CHRUSDT,15m,bearish_divergence,2,1.68,0.1521,30/09/2022 17:45,1664559899999,0.1488,1664705699999,1,2.0
236811,IOTXUSDT_15m_orders.xlsx,IOTXUSDT,15m,bearish_divergence,2,3.07,0.02873,30/09/2022 16:00,1664553599999,0.02773,1664706599999,1,2.0
291647,MTLUSDT_15m_orders.xlsx,MTLUSDT,15m,bearish_divergence,2,1.52,1.0574,30/09/2022 17:45,1664559899999,1.0255,1664706599999,1,2.0
36716,ARUSDT_15m_orders.xlsx,ARUSDT,15m,bearish_divergence,2,5.85,9.323,30/09/2022 18:00,1664560799999,9.12,1664706599999,1,2.0
136691,DARUSDT_15m_orders.xlsx,DARUSDT,15m,bearish_divergence,2,2.94,0.2081,02/10/2022 10:00,1664704799999,0.2008,1664706599999,1,2.0
287519,MKRUSDT_15m_orders.xlsx,MKRUSDT,15m,bearish_divergence,2,1.48,745.1,02/10/2022 10:30,1664706599999,756.9,1664710199999,0,-1.48
264416,LITUSDT_15m_orders.xlsx,LITUSDT,15m,bearish_divergence,2,5.12,0.611,02/10/2022 15:15,1664723699999,0.715,1664731799999,0,-5.12
255862,LINAUSDT_15m_orders.xlsx,LINAUSDT,15m,bearish_divergence,2,2.14,0.00779,02/10/2022 21:30,1664746199999,0.00756,1664756099999,1,2.0
78570,BELUSDT_15m_orders.xlsx,BELUSDT,15m,bearish_divergence,2,3.68,0.5889,03/10/2022 01:30,1664760599999,0.6293,1664778599999,0,-3.68
255864,LINAUSDT_15m_orders.xlsx,LINAUSDT,15m,bearish_divergence,2,3.07,0.0079,03/10/2022 02:45,1664765099999,0.00818,1664770499999,0,-3.07
190349,FLMUSDT_15m_orders.xlsx,FLMUSDT,15m,bearish_divergence,2,1.42,0.118,03/10/2022 03:15,1664766899999,0.1156,1664774099999,1,2.0
33723,API3USDT_15m_orders.xlsx,API3USDT,15m,bearish_divergence,2,2.06,1.661,03/10/2022 04:00,1664769599999,1.627,1664774099999,1,2.0
343491,RLCUSDT_15m_orders.xlsx,RLCUSDT,15m,bearish_divergence,2,2.45,1.2026,03/10/2022 03:30,1664767799999,1.2466,1664807399999,0,-2.45
33726,API3USDT_15m_orders.xlsx,API3USDT,15m,bearish_divergence,2,2.0,1.67,03/10/2022 09:15,1664788499999,1.715,1664801999999,0,-2.0
264419,LITUSDT_15m_orders.xlsx,LITUSDT,15m,bearish_divergence,2,2.54,0.768,03/10/2022 10:45,1664793899999,0.79,1664802899999,0,-2.54
264419,LITUSDT_15m_orders.xlsx,LITUSDT,15m,bearish_divergence,2,2.54,0.768,03/10/2022 10:45,1664793899999,0.79,1664802899999,0,-2.54
161762,DYDXUSDT_15m_orders.xlsx,DYDXUSDT,15m,bearish_divergence,2,1.42,1.251,03/10/2022 19:15,1664824499999,1.27,1664831699999,0,-1.42
225654,INJUSDT_15m_orders.xlsx,INJUSDT,15m,bearish_divergence,2,1.66,1.716,03/10/2022 21:30,1664832599999,1.745,1664838899999,0,-1.66
395243,SUSHIUSDT_15m_orders.xlsx,SUSHIUSDT,15m,bearish_divergence,2,1.37,1.076,03/10/2022 22:45,1664837099999,1.091,1664839799999,0,-1.37
120248,COTIUSDT_15m_orders.xlsx,COTIUSDT,15m,bearish_divergence,2,1.96,0.12729,03/10/2022 21:45,1664833499999,0.12455,1664847899999,1,2.0
219732,ICPUSDT_15m_orders.xlsx,ICPUSDT,15m,bearish_divergence,2,1.25,6.023,03/10/2022 19:15,1664824499999,6.122,1664865899999,0,-1.25
150405,DGBUSDT_15m_orders.xlsx,DGBUSDT,15m,bearish_divergence,2,1.04,0.00951,04/10/2022 00:30,1664843399999,0.00962,1664861399999,0,-1.04
171701,ENSUSDT_15m_orders.xlsx,ENSUSDT,15m,bearish_divergence,2,2.1,15.404,04/10/2022 01:00,1664845199999,15.82,1664868599999,0,-2.1
