,Source.Name,trade_symbol,trade_interval,strategy,takeprofit,stoploss,entry_price,UTC_entry time,entry_time,close_price,close_time,win,win_percentage,action,position_count
458090,XTZUSDT_15m_orders.xlsx,XTZUSDT,15m,bearish_divergence_below_ema21,2,2.24,2.573,06/09/2020 22:15,1599430499999,2.512,1599445799999,1,2.0,1,1
231181,IOTAUSDT_15m_orders.xlsx,IOTAUSDT,15m,bearish_divergence_below_ema21,2,1.64,0.2877,06/09/2020 22:30,1599431399999,0.2802,1599432299999,1,2.0,1,2
246072,KNCUSDT_15m_orders.xlsx,KNCUSDT,15m,bearish_divergence_below_ema21,2,3.6,1.27068,06/09/2020 22:30,1599431399999,1.32546,1599443999999,0,-3.6,1,3
114845,COMPUSDT_15m_orders.xlsx,COMPUSDT,15m,bearish_divergence_below_ema21,2,6.34,166.01,06/09/2020 22:45,1599432299999,177.92,1599443999999,0,-6.34,1,4
286383,MKRUSDT_15m_orders.xlsx,MKRUSDT,15m,bearish_divergence_below_ema21,2,1.8,537.37,06/09/2020 22:45,1599432299999,548.13,1599437699999,0,-1.8,1,5
373172,SNXUSDT_15m_orders.xlsx,SNXUSDT,15m,bearish_divergence_below_ema21,2,5.04,4.955,06/09/2020 23:00,1599433199999,4.854,1599446699999,1,2.0,1,5
63366,BANDUSDT_15m_orders.xlsx,BANDUSDT,15m,bearish_divergence_below_ema21,2,7.56,9.5239,07/09/2020 01:15,1599441299999,9.3268,1599446699999,1,2.0,1,5
86184,BNBUSDT_15m_orders.xlsx,BNBUSDT,15m,bearish_divergence_below_ema21,2,2.27,23.03,07/09/2020 01:15,1599441299999,22.356,1599444899999,1,2.0,1,6
286387,MKRUSDT_15m_orders.xlsx,MKRUSDT,15m,bearish_divergence_below_ema21,2,1.97,540.0,07/09/2020 02:45,1599446699999,528.14,1599451199999,1,2.0,-1,-1
114848,COMPUSDT_15m_orders.xlsx,COMPUSDT,15m,bearish_divergence_below_ema21,2,3.33,172.31,07/09/2020 03:00,1599447599999,166.61,1599449399999,1,2.0,-1,-1
239407,KAVAUSDT_15m_orders.xlsx,KAVAUSDT,15m,bearish_divergence_below_ema21,2,3.63,2.4173,07/09/2020 03:00,1599447599999,2.3639,1599454799999,1,2.0,-1,-1
413062,TRBUSDT_15m_orders.xlsx,TRBUSDT,15m,bearish_divergence_below_ema21,2,8.76,39.784,07/09/2020 05:00,1599454799999,38.192,1599456599999,1,2.0,-1,-1
226343,IOSTUSDT_15m_orders.xlsx,IOSTUSDT,15m,bearish_divergence_below_ema21,2,2.03,0.005854,08/09/2020 02:00,1599530399999,0.005989,1599532199999,0,-2.03,1,1
231186,IOTAUSDT_15m_orders.xlsx,IOTAUSDT,15m,bearish_divergence_below_ema21,2,2.15,0.2819,08/09/2020 04:30,1599539399999,0.2902,1599549299999,0,-2.15,1,1
298225,NEOUSDT_15m_orders.xlsx,NEOUSDT,15m,bearish_divergence_below_ema21,2,2.81,18.045,08/09/2020 04:30,1599539399999,18.65,1599552899999,0,-2.81,1,2
467307,ZECUSDT_15m_orders.xlsx,ZECUSDT,15m,bearish_divergence_below_ema21,2,3.3,62.13,08/09/2020 04:30,1599539399999,60.83,1599555599999,1,2.0,1,3
418040,TRXUSDT_15m_orders.xlsx,TRXUSDT,15m,bearish_divergence_below_ema21,2,1.78,0.03205,08/09/2020 05:00,1599541199999,0.03342,1599546599999,0,-1.78,1,4
298227,NEOUSDT_15m_orders.xlsx,NEOUSDT,15m,bearish_divergence_below_ema21,2,3.01,18.089,08/09/2020 08:30,1599553799999,17.545,1599558299999,1,2.0,-1,-1
448170,XMRUSDT_15m_orders.xlsx,XMRUSDT,15m,bearish_divergence_below_ema21,2,1.38,82.87,08/09/2020 08:30,1599553799999,81.12,1599558299999,1,2.0,-1,-1
435243,WAVESUSDT_15m_orders.xlsx,WAVESUSDT,15m,bearish_divergence_below_ema21,2,4.85,2.3793,08/09/2020 08:45,1599554699999,2.3222,1599559199999,1,2.0,-1,-1
342353,RLCUSDT_15m_orders.xlsx,RLCUSDT,15m,bearish_divergence_below_ema21,2,3.41,0.9721,08/09/2020 09:00,1599555599999,0.9348,1599560099999,1,2.0,-1,-1
86187,BNBUSDT_15m_orders.xlsx,BNBUSDT,15m,bearish_divergence_below_ema21,2,4.94,22.781,09/09/2020 02:30,1599618599999,23.983,1599638399999,0,-4.94,1,1
86189,BNBUSDT_15m_orders.xlsx,BNBUSDT,15m,bearish_divergence_below_ema21,2,2.57,23.366,09/09/2020 10:45,1599648299999,24.36,1599668099999,0,-2.57,1,1
476081,ZILUSDT_15m_orders.xlsx,ZILUSDT,15m,bearish_divergence_below_ema21,2,2.07,0.01659,09/09/2020 16:30,1599668999999,0.01622,1599694199999,1,2.0,-1,-1
394117,SUSHIUSDT_15m_orders.xlsx,SUSHIUSDT,15m,bearish_divergence_below_ema21,2,9.02,2.904,09/09/2020 19:45,1599680699999,2.805,1599681599999,1,2.0,1,1
398407,SXPUSDT_15m_orders.xlsx,SXPUSDT,15m,bearish_divergence_below_ema21,2,3.13,1.8026,09/09/2020 20:00,1599681599999,1.8977,1599701399999,0,-3.13,1,2
413065,TRBUSDT_15m_orders.xlsx,TRBUSDT,15m,bearish_divergence_below_ema21,2,5.23,35.695,09/09/2020 20:00,1599681599999,34.382,1599685199999,1,2.0,1,3
463034,YFIUSDT_15m_orders.xlsx,YFIUSDT,15m,bearish_divergence_below_ema21,2,4.39,26961.4,09/09/2020 20:15,1599682499999,29299.6,1599692399999,0,-4.39,1,3
231191,IOTAUSDT_15m_orders.xlsx,IOTAUSDT,15m,bearish_divergence_below_ema21,2,1.25,0.2913,09/09/2020 20:30,1599683399999,0.2828,1599694199999,1,2.0,1,4
239412,KAVAUSDT_15m_orders.xlsx,KAVAUSDT,15m,bearish_divergence_below_ema21,2,2.76,2.4912,09/09/2020 20:30,1599683399999,2.5631,1599698699999,0,-2.76,1,5
258409,LINKUSDT_15m_orders.xlsx,LINKUSDT,15m,bearish_divergence_below_ema21,2,1.63,12.461,09/09/2020 20:30,1599683399999,12.755,1599703199999,0,-1.63,1,6
40763,ATOMUSDT_15m_orders.xlsx,ATOMUSDT,15m,bearish_divergence_below_ema21,2,2.11,5.379,09/09/2020 21:00,1599685199999,5.498,1599697799999,0,-2.11,1,7
68044,BATUSDT_15m_orders.xlsx,BATUSDT,15m,bearish_divergence_below_ema21,2,1.89,0.2591,09/09/2020 21:00,1599685199999,0.2642,1599705899999,0,-1.89,1,8
181774,ETHUSDT_15m_orders.xlsx,ETHUSDT,15m,bearish_divergence_below_ema21,2,1.65,353.08,09/09/2020 21:00,1599685199999,365.61,1599702299999,0,-1.65,1,9
480666,ZRXUSDT_15m_orders.xlsx,ZRXUSDT,15m,bearish_divergence_below_ema21,2,2.01,0.4638,09/09/2020 21:15,1599686099999,0.4745,1599703199999,0,-2.01,1,9
12007,ADAUSDT_15m_orders.xlsx,ADAUSDT,15m,bearish_divergence_below_ema21,2,1.54,0.09437,09/09/2020 21:45,1599687899999,0.096,1599702299999,0,-1.54,1,10
430363,VETUSDT_15m_orders.xlsx,VETUSDT,15m,bearish_divergence_below_ema21,2,2.06,0.012976,09/09/2020 22:00,1599688799999,0.013266,1599698699999,0,-2.06,0,-1
142372,DEFIUSDT_15m_orders.xlsx,DEFIUSDT,15m,bearish_divergence_below_ema21,2,2.85,776.3,09/09/2020 23:30,1599694199999,811.8,1599702299999,0,-2.85,1,10
286394,MKRUSDT_15m_orders.xlsx,MKRUSDT,15m,bearish_divergence_below_ema21,2,2.32,522.16,09/09/2020 23:30,1599694199999,534.58,1599702299999,0,-2.32,0,-1
373178,SNXUSDT_15m_orders.xlsx,SNXUSDT,15m,bearish_divergence_below_ema21,2,5.71,4.95,09/09/2020 23:30,1599694199999,5.286,1599702299999,0,-5.71,0,-1
320846,ONTUSDT_15m_orders.xlsx,ONTUSDT,15m,bearish_divergence_below_ema21,2,2.17,0.6894,10/09/2020 03:30,1599708599999,0.6748,1599723899999,1,2.0,-1,-1
382535,SRMUSDT_15m_orders.xlsx,SRMUSDT,15m,bearish_divergence_below_ema21,2,2.65,2.5116,10/09/2020 03:30,1599708599999,2.4367,1599723899999,1,2.0,-1,-1
430365,VETUSDT_15m_orders.xlsx,VETUSDT,15m,bearish_divergence_below_ema21,2,2.12,0.013112,10/09/2020 03:30,1599708599999,0.013431,1599719399999,0,-2.12,-1,-1
114851,COMPUSDT_15m_orders.xlsx,COMPUSDT,15m,bearish_divergence_below_ema21,2,1.84,181.76,10/09/2020 04:15,1599711299999,185.82,1599713999999,0,-1.84,-1,-1
402823,THETAUSDT_15m_orders.xlsx,THETAUSDT,15m,bearish_divergence_below_ema21,2,1.7,0.4922,10/09/2020 05:30,1599715799999,0.482,1599718499999,1,2.0,-1,-1
114853,COMPUSDT_15m_orders.xlsx,COMPUSDT,15m,bearish_divergence_below_ema21,2,1.6,182.95,10/09/2020 06:00,1599717599999,179.2,1599722999999,1,2.0,-1,-1
122878,CRVUSDT_15m_orders.xlsx,CRVUSDT,15m,bearish_divergence_below_ema21,2,4.84,2.082,10/09/2020 06:00,1599717599999,2.019,1599722099999,1,2.0,-1,-1
12010,ADAUSDT_15m_orders.xlsx,ADAUSDT,15m,bearish_divergence_below_ema21,2,2.36,0.09556,10/09/2020 06:45,1599720299999,0.09925,1599748199999,0,-2.36,-1,-1
63373,BANDUSDT_15m_orders.xlsx,BANDUSDT,15m,bearish_divergence_below_ema21,2,2.67,9.16,10/09/2020 06:45,1599720299999,8.8556,1599723899999,1,2.0,-1,-1
342358,RLCUSDT_15m_orders.xlsx,RLCUSDT,15m,bearish_divergence_below_ema21,2,2.37,1.0585,10/09/2020 06:45,1599720299999,1.1131,1599740099999,0,-2.37,-1,-1
398408,SXPUSDT_15m_orders.xlsx,SXPUSDT,15m,bearish_divergence_below_ema21,2,2.31,1.8763,10/09/2020 06:45,1599720299999,1.8275,1599723899999,1,2.0,-1,-1
476084,ZILUSDT_15m_orders.xlsx,ZILUSDT,15m,bearish_divergence_below_ema21,2,1.83,0.01718,10/09/2020 06:45,1599720299999,0.01678,1599723899999,1,2.0,-1,-1
480668,ZRXUSDT_15m_orders.xlsx,ZRXUSDT,15m,bearish_divergence_below_ema21,2,1.66,0.4669,10/09/2020 06:45,1599720299999,0.4543,1599724799999,1,2.0,-1,-1
231194,IOTAUSDT_15m_orders.xlsx,IOTAUSDT,15m,bearish_divergence_below_ema21,2,1.91,0.2934,10/09/2020 07:00,1599721199999,0.2874,1599725699999,1,2.0,-1,-1
16418,ALGOUSDT_15m_orders.xlsx,ALGOUSDT,15m,bearish_divergence_below_ema21,2,3.41,0.419,10/09/2020 07:45,1599723899999,0.4099,1599725699999,1,2.0,-1,-1
463039,YFIUSDT_15m_orders.xlsx,YFIUSDT,15m,bearish_divergence_below_ema21,2,4.54,29660.0,10/09/2020 07:45,1599723899999,28865.3,1599724799999,1,2.0,-1,-1
122882,CRVUSDT_15m_orders.xlsx,CRVUSDT,15m,bearish_divergence_below_ema21,2,6.23,2.062,10/09/2020 15:00,1599749999999,2.008,1599755399999,1,2.0,-1,-1
181776,ETHUSDT_15m_orders.xlsx,ETHUSDT,15m,bearish_divergence_below_ema21,2,2.56,367.36,10/09/2020 15:00,1599749999999,358.23,1599795899999,1,2.0,-1,-1
342361,RLCUSDT_15m_orders.xlsx,RLCUSDT,15m,bearish_divergence_below_ema21,2,4.63,1.0661,10/09/2020 15:00,1599749999999,1.0424,1599763499999,1,2.0,-1,-1
353061,RUNEUSDT_15m_orders.xlsx,RUNEUSDT,15m,bearish_divergence_below_ema21,2,5.67,0.755,10/09/2020 15:00,1599749999999,0.7379,1599762599999,1,2.0,-1,-1
373180,SNXUSDT_15m_orders.xlsx,SNXUSDT,15m,bearish_divergence_below_ema21,2,3.71,5.319,10/09/2020 15:00,1599749999999,5.543,1599766199999,0,-3.71,-1,-1
454118,XRPUSDT_15m_orders.xlsx,XRPUSDT,15m,bearish_divergence_below_ema21,2,1.33,0.2454,10/09/2020 15:15,1599750899999,0.2398,1599793199999,1,2.0,-1,-1
312933,OMGUSDT_15m_orders.xlsx,OMGUSDT,15m,bearish_divergence_below_ema21,2,4.2,3.9021,10/09/2020 15:45,1599752699999,3.808,1599766199999,1,2.0,-1,-1
63376,BANDUSDT_15m_orders.xlsx,BANDUSDT,15m,bearish_divergence_below_ema21,2,3.01,9.1448,10/09/2020 16:15,1599754499999,8.9287,1599756299999,1,2.0,-1,-1
142375,DEFIUSDT_15m_orders.xlsx,DEFIUSDT,15m,bearish_divergence_below_ema21,2,2.82,813.7,10/09/2020 16:15,1599754499999,795.8,1599762599999,1,2.0,-1,-1
239415,KAVAUSDT_15m_orders.xlsx,KAVAUSDT,15m,bearish_divergence_below_ema21,2,4.2,2.6344,10/09/2020 16:15,1599754499999,2.782,1599759899999,0,-4.2,-1,-1
16420,ALGOUSDT_15m_orders.xlsx,ALGOUSDT,15m,bearish_divergence_below_ema21,2,5.36,0.4259,10/09/2020 16:30,1599755399999,0.4151,1599762599999,1,2.0,-1,-1
402826,THETAUSDT_15m_orders.xlsx,THETAUSDT,15m,bearish_divergence_below_ema21,2,4.45,0.4836,10/09/2020 16:45,1599756299999,0.468,1599763499999,1,2.0,-1,-1
463042,YFIUSDT_15m_orders.xlsx,YFIUSDT,15m,bearish_divergence_below_ema21,2,6.0,30205.2,10/09/2020 16:45,1599756299999,29600.0,1599763499999,1,2.0,-1,-1
239419,KAVAUSDT_15m_orders.xlsx,KAVAUSDT,15m,bearish_divergence_below_ema21,2,3.7,2.6521,10/09/2020 18:45,1599763499999,2.7745,1599774299999,0,-3.7,-1,-1
226348,IOSTUSDT_15m_orders.xlsx,IOSTUSDT,15m,bearish_divergence_below_ema21,2,5.43,0.007367,11/09/2020 01:00,1599785999999,0.007164,1599789599999,1,2.0,1,1
239421,KAVAUSDT_15m_orders.xlsx,KAVAUSDT,15m,bearish_divergence_below_ema21,2,6.23,2.7567,11/09/2020 01:15,1599786899999,2.6895,1599789599999,1,2.0,1,2
463045,YFIUSDT_15m_orders.xlsx,YFIUSDT,15m,bearish_divergence_below_ema21,2,5.52,33011.0,11/09/2020 01:45,1599788699999,32200.0,1599793199999,1,2.0,1,3
320851,ONTUSDT_15m_orders.xlsx,ONTUSDT,15m,bearish_divergence_below_ema21,2,1.78,0.7504,11/09/2020 02:00,1599789599999,0.7308,1599795899999,1,2.0,1,4
328300,QTUMUSDT_15m_orders.xlsx,QTUMUSDT,15m,bearish_divergence_below_ema21,2,2.02,2.618,11/09/2020 02:15,1599790499999,2.564,1599792299999,1,2.0,1,3
298232,NEOUSDT_15m_orders.xlsx,NEOUSDT,15m,bearish_divergence_below_ema21,2,2.33,19.019,11/09/2020 11:00,1599821999999,19.718,1599832799999,0,-2.33,1,1
286397,MKRUSDT_15m_orders.xlsx,MKRUSDT,15m,bearish_divergence_below_ema21,2,2.03,528.02,11/09/2020 17:15,1599844499999,511.69,1599870599999,1,2.0,1,1
373183,SNXUSDT_15m_orders.xlsx,SNXUSDT,15m,bearish_divergence_below_ema21,2,2.1,5.865,11/09/2020 21:30,1599859799999,5.995,1599867899999,0,-2.1,1,2
