,Source.Name,trade_symbol,trade_interval,strategy,takeprofit,stoploss,entry_price,UTC_entry time,entry_time,close_price,close_time,win,win_percentage,action,position_count
454713,XRPUSDT_15m_orders.xlsx,XRPUSDT,15m,bearish_divergence_below_rsi40,2,3.4,0.4256,20/05/2022 11:30,1653046199999,0.4167,1653056999999,1,2.0,-1,-1
255702,LINAUSDT_15m_orders.xlsx,LINAUSDT,15m,bearish_divergence_below_rsi40,2,4.98,0.00935,20/05/2022 13:00,1653051599999,0.00916,1653056099999,1,2.0,-1,-1
78451,BELUSDT_15m_orders.xlsx,BELUSDT,15m,bearish_divergence_below_rsi40,2,4.43,0.3323,20/05/2022 13:15,1653052499999,0.3252,1653056999999,1,2.0,-1,-1
246978,KNCUSDT_15m_orders.xlsx,KNCUSDT,15m,bearish_divergence_below_rsi40,2,7.43,2.641,20/05/2022 14:00,1653055199999,2.57,1653056099999,1,2.0,-1,-1
31019,ANTUSDT_15m_orders.xlsx,ANTUSDT,15m,bearish_divergence_below_rsi40,2,5.13,1.665,20/05/2022 14:15,1653056099999,1.625,1653058799999,1,2.0,-1,-1
33585,API3USDT_15m_orders.xlsx,API3USDT,15m,bearish_divergence_below_rsi40,2,6.86,1.832,20/05/2022 14:15,1653056099999,1.778,1653058799999,1,2.0,-1,-1
36565,ARUSDT_15m_orders.xlsx,ARUSDT,15m,bearish_divergence_below_rsi40,2,4.56,15.173,20/05/2022 14:15,1653056099999,14.848,1653058799999,1,2.0,-1,-1
82636,BLZUSDT_15m_orders.xlsx,BLZUSDT,15m,bearish_divergence_below_rsi40,2,5.05,0.07577,20/05/2022 14:15,1653056099999,0.07414,1653059699999,1,2.0,-1,-1
112413,CHZUSDT_15m_orders.xlsx,CHZUSDT,15m,bearish_divergence_below_rsi40,2,4.41,0.12279,20/05/2022 14:15,1653056099999,0.11991,1653057899999,1,2.0,-1,-1
138331,DASHUSDT_15m_orders.xlsx,DASHUSDT,15m,bearish_divergence_below_rsi40,2,3.31,58.09,20/05/2022 14:15,1653056099999,56.7,1653059699999,1,2.0,-1,-1
143450,DEFIUSDT_15m_orders.xlsx,DEFIUSDT,15m,bearish_divergence_below_rsi40,2,3.39,810.3,20/05/2022 14:15,1653056099999,788.4,1653059699999,1,2.0,-1,-1
159805,DUSKUSDT_15m_orders.xlsx,DUSKUSDT,15m,bearish_divergence_below_rsi40,2,4.14,0.13118,20/05/2022 14:15,1653056099999,0.12825,1653057899999,1,2.0,-1,-1
178255,ETCUSDT_15m_orders.xlsx,ETCUSDT,15m,bearish_divergence_below_rsi40,2,2.71,20.641,20/05/2022 14:15,1653056099999,20.078,1653059699999,1,2.0,-1,-1
186970,FILUSDT_15m_orders.xlsx,FILUSDT,15m,bearish_divergence_below_rsi40,2,2.8,8.06,20/05/2022 14:15,1653056099999,7.85,1653059699999,1,2.0,-1,-1
214098,HNTUSDT_15m_orders.xlsx,HNTUSDT,15m,bearish_divergence_below_rsi40,2,4.27,7.941,20/05/2022 14:15,1653056099999,7.761,1653059699999,1,2.0,-1,-1
220819,ICXUSDT_15m_orders.xlsx,ICXUSDT,15m,bearish_divergence_below_rsi40,2,4.29,0.359,20/05/2022 14:15,1653056099999,0.3489,1653059699999,1,2.0,-1,-1
227058,IOSTUSDT_15m_orders.xlsx,IOSTUSDT,15m,bearish_divergence_below_rsi40,2,3.71,0.016933,20/05/2022 14:15,1653056099999,0.016513,1653060599999,1,2.0,-1,-1
236636,IOTXUSDT_15m_orders.xlsx,IOTXUSDT,15m,bearish_divergence_below_rsi40,2,5.0,0.0325,20/05/2022 14:15,1653056099999,0.03182,1653057899999,1,2.0,-1,-1
303528,NKNUSDT_15m_orders.xlsx,NKNUSDT,15m,bearish_divergence_below_rsi40,2,4.53,0.09701,20/05/2022 14:15,1653056099999,0.09489,1653057899999,1,2.0,-1,-1
321764,ONTUSDT_15m_orders.xlsx,ONTUSDT,15m,bearish_divergence_below_rsi40,2,3.86,0.2741,20/05/2022 14:15,1653056099999,0.2668,1653059699999,1,2.0,-1,-1
387727,STMXUSDT_15m_orders.xlsx,STMXUSDT,15m,bearish_divergence_below_rsi40,2,3.63,0.00928,20/05/2022 14:15,1653056099999,0.00909,1653058799999,1,2.0,-1,-1
403694,THETAUSDT_15m_orders.xlsx,THETAUSDT,15m,bearish_divergence_below_rsi40,2,4.76,1.261,20/05/2022 14:15,1653056099999,1.232,1653058799999,1,2.0,-1,-1
476939,ZILUSDT_15m_orders.xlsx,ZILUSDT,15m,bearish_divergence_below_rsi40,2,4.37,0.05144,20/05/2022 14:15,1653056099999,0.05024,1653059699999,1,2.0,-1,-1
28239,ANKRUSDT_15m_orders.xlsx,ANKRUSDT,15m,bearish_divergence_below_rsi40,2,4.98,0.03758,20/05/2022 14:30,1653056999999,0.03667,1653059699999,1,2.0,-1,-1
106378,CELRUSDT_15m_orders.xlsx,CELRUSDT,15m,bearish_divergence_below_rsi40,2,5.39,0.01791,20/05/2022 14:30,1653056999999,0.01741,1653059699999,1,2.0,-1,-1
182611,ETHUSDT_15m_orders.xlsx,ETHUSDT,15m,bearish_divergence_below_rsi40,2,2.62,2010.64,20/05/2022 14:30,1653056999999,1952.62,1653059699999,1,2.0,-1,-1
