,Source.Name,trade_symbol,trade_interval,strategy,takeprofit,stoploss,entry_price,UTC_entry time,entry_time,close_price,close_time,win,win_percentage,action,position_count
220432,ICXUSDT_15m_orders.xlsx,ICXUSDT,15m,bearish_divergence_1-3,2,2.94,1.2137,11/08/2021 21:30,1628717399999,1.1715,1628720999999,1,2.0,1,8
467766,ZECUSDT_15m_orders.xlsx,ZECUSDT,15m,bearish_divergence_1-3,2,2.15,139.73,11/08/2021 21:30,1628717399999,136.12,1628720999999,1,2.0,1,9
78063,BELUSDT_15m_orders.xlsx,BELUSDT,15m,bearish_divergence_1-3,2,5.78,1.9694,11/08/2021 22:30,1628720999999,2.0934,1628735399999,0,-5.78,1,6
306416,OCEANUSDT_15m_orders.xlsx,OCEANUSDT,15m,bearish_divergence_1-3,2,6.63,0.67017,11/08/2021 22:30,1628720999999,0.65601,1628730899999,1,2.0,1,7
476580,ZILUSDT_15m_orders.xlsx,ZILUSDT,15m,bearish_divergence_1-3,2,2.71,0.10382,11/08/2021 22:30,1628720999999,0.10693,1628724599999,0,-2.71,1,8
443436,XLMUSDT_15m_orders.xlsx,XLMUSDT,15m,bearish_divergence_1-3,2,2.26,0.34576,12/08/2021 04:00,1628740799999,0.33682,1628745299999,1,2.0,1,1
147437,DENTUSDT_15m_orders.xlsx,DENTUSDT,15m,bearish_divergence_1-3,2,6.32,0.004669,12/08/2021 04:30,1628742599999,0.004531,1628745299999,1,2.0,1,2
177961,ETCUSDT_15m_orders.xlsx,ETCUSDT,15m,bearish_divergence_1-3,2,4.93,62.781,12/08/2021 04:30,1628742599999,57.726,1628746199999,1,2.0,1,3
186698,FILUSDT_15m_orders.xlsx,FILUSDT,15m,bearish_divergence_1-3,2,2.99,73.0,12/08/2021 04:30,1628742599999,71.505,1628745299999,1,2.0,1,4
282866,MATICUSDT_15m_orders.xlsx,MATICUSDT,15m,bearish_divergence_1-3,2,5.17,1.405,12/08/2021 04:30,1628742599999,1.3735,1628745299999,1,2.0,1,5
313388,OMGUSDT_15m_orders.xlsx,OMGUSDT,15m,bearish_divergence_1-3,2,3.47,5.3157,12/08/2021 04:30,1628742599999,5.1953,1628745299999,1,2.0,1,6
458529,XTZUSDT_15m_orders.xlsx,XTZUSDT,15m,bearish_divergence_1-3,2,2.76,3.518,12/08/2021 04:30,1628742599999,3.324,1628746199999,1,2.0,1,7
463504,YFIUSDT_15m_orders.xlsx,YFIUSDT,15m,bearish_divergence_1-3,2,2.89,38843.0,12/08/2021 04:30,1628742599999,37682.0,1628746199999,1,2.0,1,8
435606,WAVESUSDT_15m_orders.xlsx,WAVESUSDT,15m,bearish_divergence_1-3,2,2.47,19.16,12/08/2021 04:45,1628743499999,18.583,1628745299999,1,2.0,1,9
195512,FTMUSDT_15m_orders.xlsx,FTMUSDT,15m,bearish_divergence_1-3,2,1.44,0.33826,13/08/2021 10:00,1628848799999,0.3437,1628853299999,0,-1.44,1,1
147442,DENTUSDT_15m_orders.xlsx,DENTUSDT,15m,bearish_divergence_1-3,2,3.37,0.005564,13/08/2021 10:30,1628850599999,0.005438,1628852399999,1,2.0,1,2
152841,DOGEUSDT_15m_orders.xlsx,DOGEUSDT,15m,bearish_divergence_1-3,2,2.65,0.27583,13/08/2021 11:45,1628855099999,0.27005,1628869499999,1,2.0,1,1
231626,IOTAUSDT_15m_orders.xlsx,IOTAUSDT,15m,bearish_divergence_1-3,2,1.69,1.0818,13/08/2021 11:45,1628855099999,1.101,1628855099999,0,-1.69,1,2
195514,FTMUSDT_15m_orders.xlsx,FTMUSDT,15m,bearish_divergence_1-3,2,1.55,0.34653,13/08/2021 13:30,1628861399999,0.33914,1628865899999,1,2.0,1,2
99223,BTSUSDT_15m_orders.xlsx,BTSUSDT,15m,bearish_divergence_1-3,2,2.0,0.05643,13/08/2021 14:45,1628865899999,0.05506,1628869499999,1,2.0,1,3
255332,LINAUSDT_15m_orders.xlsx,LINAUSDT,15m,bearish_divergence_1-3,2,2.6,0.05162,13/08/2021 14:45,1628865899999,0.05356,1628872199999,0,-2.6,1,4
189833,FLMUSDT_15m_orders.xlsx,FLMUSDT,15m,bearish_divergence_1-3,2,2.76,0.5599,13/08/2021 19:30,1628882999999,0.5766,1628900099999,0,-2.76,1,1
390531,STORJUSDT_15m_orders.xlsx,STORJUSDT,15m,bearish_divergence_1-3,2,1.15,1.2332,13/08/2021 19:30,1628882999999,1.2498,1628885699999,0,-1.15,1,2
